Source,Target,Type,Id,Label,Weight
antenor,enej,Undirected,antenor|enej,,2
antenor,timar,Undirected,antenor|timar,,1
antenor,didona,Undirected,antenor|didona,,1
antenor,jarb,Undirected,antenor|jarb,,1
enej,didona,Undirected,enej|didona,,3
enej,timar,Undirected,enej|timar,,1
enej,jarb,Undirected,enej|jarb,,2
didona,eliza,Undirected,didona|eliza,,7
didona,jarb,Undirected,didona|jarb,,4
didona,arsina,Undirected,didona|arsina,,3
didona,voin,Undirected,didona|voin,,2
didona,timar,Undirected,didona|timar,,1
eliza,arsina,Undirected,eliza|arsina,,1
eliza,voin,Undirected,eliza|voin,,1
jarb,gias,Undirected,jarb|gias,,2
jarb,timar,Undirected,jarb|timar,,1
arsina,voin,Undirected,arsina|voin,,1
